role,network,trust
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,1
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,NoEmb,0
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,1
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustor,Emb,0
trustee,NoEmb,1
trustee,NoEmb,1
trustee,NoEmb,1
trustee,NoEmb,1
trustee,NoEmb,1
trustee,NoEmb,1
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,NoEmb,0
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,1
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
trustee,Emb,0
