Treat,Sess,Buyer,Seller,Buy,Ship
Feedback,1,7,6,0,0
Feedback,1,8,5,1,1
Feedback,1,11,1,1,-1
Feedback,1,12,10,0,0
Feedback,1,13,9,1,1
Feedback,1,14,2,1,-1
Feedback,1,15,3,1,1
Feedback,1,16,4,1,1
Feedback,2,7,6,1,1
Feedback,2,8,5,1,1
Feedback,2,11,1,1,1
Feedback,2,12,10,0,0
Feedback,2,13,9,1,1
Feedback,2,14,2,0,0
Feedback,2,15,3,0,0
Feedback,2,16,4,1,-1
Strangers,3,7,6,1,1
Strangers,3,8,5,1,1
Strangers,3,11,1,1,1
Strangers,3,12,10,0,0
Strangers,3,13,9,1,1
Strangers,3,14,2,0,0
Strangers,3,15,3,0,0
Strangers,3,16,4,1,1
Strangers,4,7,6,0,0
Strangers,4,8,5,0,0
Strangers,4,11,1,1,-1
Strangers,4,12,10,1,1
Strangers,4,13,9,1,-1
Strangers,4,14,2,1,-1
Strangers,4,15,3,0,0
Strangers,4,16,4,0,0
Strangers,8,1,11,1,1
Strangers,8,2,14,1,1
Strangers,8,3,15,1,1
Strangers,8,4,16,0,0
Strangers,8,5,8,1,1
Strangers,8,6,7,1,-1
Strangers,8,9,13,1,1
Strangers,8,10,12,1,-1
Feedback,9,1,11,1,1
Feedback,9,2,14,0,0
Feedback,9,3,15,1,-1
Feedback,9,4,16,1,1
Feedback,9,5,8,1,-1
Feedback,9,6,7,1,-1
Feedback,9,9,13,1,-1
Feedback,9,10,12,1,1
