high_cost,session,mover,recipient,give,reputation
0,1,1,9,1,1
0,1,2,10,1,1
0,1,3,11,1,1
0,1,4,12,0,1
0,1,5,13,1,1
0,1,6,14,1,1
0,1,7,15,0,1
0,1,8,16,1,1
0,2,1,9,0,1
0,2,2,10,1,1
0,2,3,11,1,1
0,2,4,12,1,1
0,2,5,13,1,1
0,2,6,14,1,1
0,2,7,15,1,1
0,2,8,16,1,1
0,3,1,9,1,1
0,3,2,10,1,1
0,3,3,11,1,1
0,3,4,12,1,1
0,3,5,13,1,1
0,3,6,14,1,1
0,3,7,15,1,1
0,3,8,16,0,1
0,4,1,9,1,1
0,4,2,10,1,1
0,4,3,11,1,1
0,4,4,12,0,1
0,4,5,13,1,1
0,4,6,14,1,1
0,4,7,15,1,1
0,4,8,16,1,1
0,5,1,9,1,0
0,5,2,10,0,0
0,5,3,11,1,0
0,5,4,12,0,0
0,5,5,13,0,0
0,5,6,14,1,0
0,5,7,15,1,0
0,5,8,16,0,0
0,6,1,9,1,0
0,6,2,10,1,0
0,6,3,11,0,0
0,6,4,12,1,0
0,6,5,13,1,0
0,6,6,14,0,0
0,6,7,15,0,0
0,6,8,16,1,0
1,7,1,9,0,1
1,7,2,10,1,1
1,7,3,11,1,1
1,7,4,12,0,1
1,7,5,13,1,1
1,7,6,14,1,1
1,7,7,15,1,1
1,7,8,16,1,1
1,8,1,9,0,1
1,8,2,10,0,1
1,8,3,11,0,1
1,8,4,12,1,1
1,8,5,13,1,1
1,8,6,14,0,1
1,8,7,15,1,1
1,8,8,16,1,1
1,9,1,9,0,1
1,9,2,10,0,1
1,9,3,11,1,1
1,9,4,12,1,1
1,9,5,13,0,1
1,9,6,14,0,1
1,9,7,15,0,1
1,9,8,16,1,1
1,10,1,9,0,1
1,10,2,10,0,1
1,10,3,11,0,1
1,10,4,12,0,1
1,10,5,13,1,1
1,10,6,14,0,1
1,10,7,15,0,1
1,10,8,16,1,1
1,11,1,9,0,0
1,11,2,10,1,0
1,11,3,11,1,0
1,11,4,12,0,0
1,11,5,13,1,0
1,11,6,14,0,0
1,11,7,15,0,0
1,11,8,16,0,0
1,12,1,9,0,0
1,12,2,10,1,0
1,12,3,11,0,0
1,12,4,12,1,0
1,12,5,13,1,0
1,12,6,14,1,0
1,12,7,15,0,0
1,12,8,16,0,0
