Session,Subject#,Type,Invest,Split,treatment
11,1101,1,1,1,1
11,1102,1,1,0,1
11,1103,1,1,0,1
11,1104,1,1,1,1
11,1105,1,0,0,1
11,1106,1,1,1,1
11,1107,1,1,1,1
11,1108,1,1,0,1
11,1109,1,1,0,1
11,1110,1,1,0,1
11,1111,2,1,1,1
11,1112,2,1,0,1
11,1113,2,1,0,1
11,1114,2,1,1,1
11,1115,2,0,0,1
11,1116,2,1,1,1
11,1117,2,1,1,1
11,1118,2,1,0,1
11,1119,2,1,0,1
11,1120,2,1,0,1
12,1201,1,1,1,1
12,1202,1,0,0,1
12,1203,1,0,0,1
12,1204,1,0,0,1
12,1205,1,0,0,1
12,1206,1,1,1,1
12,1207,1,0,0,1
12,1208,1,0,0,1
12,1209,1,1,0,1
12,1210,1,1,1,1
12,1211,2,1,1,1
12,1212,2,0,0,1
12,1213,2,0,0,1
12,1214,2,0,0,1
12,1215,2,0,0,1
12,1216,2,1,1,1
12,1217,2,0,0,1
12,1218,2,0,0,1
12,1219,2,1,0,1
12,1220,2,1,1,1
13,1301,1,0,0,1
13,1302,1,1,1,1
13,1303,1,1,1,1
13,1304,1,0,0,1
13,1305,1,0,0,1
13,1306,1,1,0,1
13,1307,1,1,0,1
13,1308,1,1,0,1
13,1309,1,1,1,1
13,1310,1,1,0,1
13,1311,2,0,0,1
13,1312,2,1,1,1
13,1313,2,1,1,1
13,1314,2,0,0,1
13,1315,2,0,0,1
13,1316,2,1,0,1
13,1317,2,1,0,1
13,1318,2,1,0,1
13,1319,2,1,1,1
13,1320,2,1,0,1
31,3101,1,1,1,3
31,3102,1,1,1,3
31,3103,1,1,1,3
31,3104,1,1,1,3
31,3105,1,1,1,3
31,3106,1,0,0,3
31,3107,1,0,0,3
31,3108,1,1,1,3
31,3109,1,1,1,3
31,3110,1,0,0,3
31,3111,2,1,1,3
31,3112,2,1,1,3
31,3113,2,1,1,3
31,3114,2,1,1,3
31,3115,2,1,1,3
31,3116,2,0,0,3
31,3117,2,0,0,3
31,3118,2,1,1,3
31,3119,2,1,1,3
31,3120,2,0,0,3
32,3201,1,1,1,3
32,3202,1,1,1,3
32,3203,1,0,0,3
32,3204,1,1,1,3
32,3205,1,1,1,3
32,3206,1,1,1,3
32,3207,1,1,1,3
32,3208,1,0,0,3
32,3209,2,0,0,3
32,3210,2,1,1,3
32,3211,2,1,1,3
32,3212,2,1,1,3
32,3213,2,1,1,3
32,3214,2,0,0,3
32,3215,2,1,1,3
32,3216,2,1,1,3
33,3301,1,1,0,3
33,3302,1,1,0,3
33,3303,1,1,1,3
33,3304,1,1,1,3
33,3305,1,1,1,3
33,3306,1,0,0,3
33,3307,1,1,1,3
33,3308,1,0,0,3
33,3309,1,0,0,3
33,3310,2,1,0,3
33,3311,2,1,1,3
33,3312,2,1,1,3
33,3313,2,1,1,3
33,3314,2,0,0,3
33,3315,2,1,1,3
33,3316,2,0,0,3
33,3317,2,0,0,3
33,3318,2,1,0,3
