session,subjectid,treatment,subject,subgroup,role,trustor,choicea,choiceb,network,firstround1
9,903,2,3,1,2,0,NA,NA,1,1
9,901,2,1,1,1,1,1,1,1,1
9,902,2,2,1,1,2,1,1,1,1
9,906,2,6,2,2,0,NA,NA,1,1
9,904,2,4,2,1,1,1,1,1,1
9,905,2,5,2,1,2,1,1,1,1
9,909,2,9,3,2,0,NA,NA,1,1
9,907,2,7,3,1,1,1,1,1,1
9,908,2,8,3,1,2,1,1,1,1
9,912,2,12,4,2,0,NA,NA,1,1
9,910,2,10,4,1,1,1,1,1,1
9,911,2,11,4,1,2,1,1,1,1
9,915,2,15,5,2,0,NA,NA,1,1
9,913,2,13,5,1,1,0,0,1,1
9,914,2,14,5,1,2,1,1,1,1
9,918,2,18,6,2,0,NA,NA,1,1
9,916,2,16,6,1,1,1,1,1,1
9,917,2,17,6,1,2,1,1,1,1
9,917,3,17,1,2,0,NA,NA,1,0
9,915,3,15,1,1,1,1,1,1,0
9,901,3,1,1,1,2,1,1,1,0
9,902,3,2,2,2,0,NA,NA,1,0
9,918,3,18,2,1,1,1,1,1,0
9,904,3,4,2,1,2,1,1,1,0
9,905,3,5,3,2,0,NA,NA,1,0
9,903,3,3,3,1,1,1,1,1,0
9,907,3,7,3,1,2,1,1,1,0
9,908,3,8,4,2,0,NA,NA,1,0
9,906,3,6,4,1,1,1,1,1,0
9,910,3,10,4,1,2,1,1,1,0
9,911,3,11,5,2,0,NA,NA,1,0
9,909,3,9,5,1,1,1,1,1,0
9,913,3,13,5,1,2,1,1,1,0
9,914,3,14,6,2,0,NA,NA,1,0
9,912,3,12,6,1,1,1,1,1,0
9,916,3,16,6,1,2,1,1,1,0
9,901,4,1,1,2,0,NA,NA,1,0
9,914,4,14,1,1,1,1,1,1,0
9,909,4,9,1,1,2,1,1,1,0
9,904,4,4,2,2,0,NA,NA,1,0
9,917,4,17,2,1,1,1,1,1,0
9,912,4,12,2,1,2,1,1,1,0
9,907,4,7,3,2,0,NA,NA,1,0
9,902,4,2,3,1,1,1,1,1,0
9,915,4,15,3,1,2,1,1,1,0
9,910,4,10,4,2,0,NA,NA,1,0
9,905,4,5,4,1,1,1,1,1,0
9,918,4,18,4,1,2,1,1,1,0
9,913,4,13,5,2,0,NA,NA,1,0
9,908,4,8,5,1,1,1,1,1,0
9,903,4,3,5,1,2,1,1,1,0
9,916,4,16,6,2,0,NA,NA,1,0
9,911,4,11,6,1,1,1,1,1,0
9,906,4,6,6,1,2,1,1,1,0
10,1003,2,3,1,2,0,NA,NA,1,1
10,1001,2,1,1,1,1,1,1,1,1
10,1002,2,2,1,1,2,1,1,1,1
10,1006,2,6,2,2,0,NA,NA,1,1
10,1004,2,4,2,1,1,1,1,1,1
10,1005,2,5,2,1,2,1,0,1,1
10,1009,2,9,3,2,0,NA,NA,1,1
10,1007,2,7,3,1,1,1,0,1,1
