Cooperate,Reputation,session,id_subj1
1,no,110215_1018,110215_10184
1,no,110215_1018,110215_10183
1,no,110215_1018,110215_10185
0,no,110215_1018,110215_10186
1,no,110215_1018,110215_10184
0,no,110215_1018,110215_10181
0,no,110215_1018,110215_10181
1,no,110215_1018,110215_10183
1,no,110215_1018,110215_10182
0,no,110215_1018,110215_10186
1,no,110215_1018,110215_10182
1,no,110215_1018,110215_10185
0,yes,110215_1339,110215_13392
0,yes,110215_1339,110215_13396
1,yes,110215_1339,110215_13391
0,yes,110215_1339,110215_13396
1,yes,110215_1339,110215_13395
0,yes,110215_1339,110215_13394
1,yes,110215_1339,110215_13395
1,yes,110215_1339,110215_13393
0,yes,110215_1339,110215_13394
1,yes,110215_1339,110215_13393
1,yes,110215_1339,110215_13391
1,yes,110215_1339,110215_13392
1,no,110216_1026,110216_10265
1,no,110216_1026,110216_10262
1,no,110216_1026,110216_10264
1,no,110216_1026,110216_10261
1,no,110216_1026,110216_10264
0,no,110216_1026,110216_10266
1,no,110216_1026,110216_10262
0,no,110216_1026,110216_10263
1,no,110216_1026,110216_10266
1,no,110216_1026,110216_10261
1,no,110216_1026,110216_10265
0,no,110216_1026,110216_10263
1,yes,110216_1324,110216_13242
0,yes,110216_1324,110216_13246
0,yes,110216_1324,110216_13247
0,yes,110216_1324,110216_13248
0,yes,110216_1324,110216_13247
1,yes,110216_1324,110216_132412
1,yes,110216_1324,110216_13249
0,yes,110216_1324,110216_132411
1,yes,110216_1324,110216_13241
0,yes,110216_1324,110216_13245
0,yes,110216_1324,110216_13245
0,yes,110216_1324,110216_13244
0,yes,110216_1324,110216_13246
0,yes,110216_1324,110216_13243
1,yes,110216_1324,110216_13242
0,yes,110216_1324,110216_13243
1,yes,110216_1324,110216_13241
0,yes,110216_1324,110216_13244
1,yes,110216_1324,110216_132410
0,yes,110216_1324,110216_132411
1,yes,110216_1324,110216_13249
0,yes,110216_1324,110216_132410
1,yes,110216_1324,110216_132412
0,yes,110216_1324,110216_13248
1,yes,110225_1026,110225_10265
1,yes,110225_1026,110225_10264
0,yes,110225_1026,110225_10263
1,yes,110225_1026,110225_10266
0,yes,110225_1026,110225_10262
1,yes,110225_1026,110225_10264
0,yes,110225_1026,110225_10263
1,yes,110225_1026,110225_10261
1,yes,110225_1026,110225_10266
0,yes,110225_1026,110225_10261
1,yes,110225_1026,110225_10265
0,yes,110225_1026,110225_10262
0,no,110225_1349,110225_13496
0,no,110225_1349,110225_13495
0,no,110225_1349,110225_13493
0,no,110225_1349,110225_13495
1,no,110225_1349,110225_13494
1,no,110225_1349,110225_13492
0,no,110225_1349,110225_13493
0,no,110225_1349,110225_13496
1,no,110225_1349,110225_13491
1,no,110225_1349,110225_13492
0,no,110225_1349,110225_13494
1,no,110225_1349,110225_13491
1,no,110331_1533,110331_15333
1,no,110331_1533,110331_15335
1,no,110331_1533,110331_15334
1,no,110331_1533,110331_15336
1,no,110331_1533,110331_15336
1,no,110331_1533,110331_15331
0,no,110331_1533,110331_15332
