Type,Session,Subject,Treatment,IDinSession,Invest,Return,Sequence
2,NoMin1,1,1,1101,0,NA,1
2,NoMin1,2,1,1102,1,1,1
2,NoMin1,3,1,1103,0,NA,1
1,NoMin1,4,1,1104,0,NA,1
1,NoMin1,5,1,1105,0,NA,1
1,NoMin1,6,1,1106,1,1,1
1,NoMin1,1,1,1101,0,NA,2
1,NoMin1,2,1,1102,0,NA,2
1,NoMin1,3,1,1103,0,NA,2
2,NoMin1,4,1,1104,0,NA,2
2,NoMin1,5,1,1105,0,NA,2
2,NoMin1,6,1,1106,0,NA,2
2,NoMin1,1,1,1101,0,NA,3
1,NoMin1,2,1,1102,0,NA,3
2,NoMin1,3,1,1103,0,NA,3
1,NoMin1,4,1,1104,0,NA,3
1,NoMin1,5,1,1105,0,NA,3
2,NoMin1,6,1,1106,0,NA,3
1,NoMin1,1,1,1101,0,NA,4
2,NoMin1,2,1,1102,0,NA,4
2,NoMin1,3,1,1103,0,NA,4
2,NoMin1,4,1,1104,0,NA,4
1,NoMin1,5,1,1105,0,NA,4
1,NoMin1,6,1,1106,0,NA,4
1,NoMin1,1,1,1101,1,1,5
2,NoMin1,2,1,1102,0,NA,5
2,NoMin1,3,1,1103,0,NA,5
1,NoMin1,4,1,1104,0,NA,5
1,NoMin1,5,1,1105,0,NA,5
2,NoMin1,6,1,1106,1,1,5
1,NoMin1,1,1,1101,1,0,6
1,NoMin1,2,1,1102,0,NA,6
2,NoMin1,3,1,1103,0,NA,6
1,NoMin1,4,1,1104,0,NA,6
2,NoMin1,5,1,1105,1,0,6
2,NoMin1,6,1,1106,0,NA,6
2,NoMin1,1,1,1101,0,NA,7
2,NoMin1,2,1,1102,1,0,7
1,NoMin1,3,1,1103,1,0,7
2,NoMin1,4,1,1104,1,0,7
1,NoMin1,5,1,1105,1,0,7
1,NoMin1,6,1,1106,0,NA,7
1,NoMin1,1,2,1101,1,0,8
2,NoMin1,2,2,1102,1,0,8
2,NoMin1,3,2,1103,0,NA,8
1,NoMin1,4,2,1104,0,NA,8
1,NoMin1,5,2,1105,1,1,8
2,NoMin1,6,2,1106,1,1,8
1,NoMin1,1,2,1101,0,NA,9
2,NoMin1,2,2,1102,0,NA,9
1,NoMin1,3,2,1103,1,1,9
2,NoMin1,4,2,1104,0,NA,9
2,NoMin1,5,2,1105,1,1,9
1,NoMin1,6,2,1106,0,NA,9
1,NoMin1,1,2,1101,1,1,10
2,NoMin1,2,2,1102,1,0,10
2,NoMin1,3,2,1103,1,1,10
2,NoMin1,4,2,1104,0,NA,10
1,NoMin1,5,2,1105,1,0,10
1,NoMin1,6,2,1106,0,NA,10
2,NoMin1,1,2,1101,0,NA,11
2,NoMin1,2,2,1102,1,0,11
1,NoMin1,3,2,1103,1,0,11
1,NoMin1,4,2,1104,0,NA,11
1,NoMin1,5,2,1105,1,1,11
2,NoMin1,6,2,1106,1,1,11
2,NoMin1,1,2,1101,0,NA,12
1,NoMin1,2,2,1102,0,NA,12
2,NoMin1,3,2,1103,0,NA,12
1,NoMin1,4,2,1104,0,NA,12
2,NoMin1,5,2,1105,0,NA,12
1,NoMin1,6,2,1106,0,NA,12
2,NoMin1,1,2,1101,1,1,13
1,NoMin1,2,2,1102,0,NA,13
1,NoMin1,3,2,1103,1,1,13
1,NoMin1,4,2,1104,0,NA,13
2,NoMin1,5,2,1105,0,NA,13
2,NoMin1,6,2,1106,0,NA,13
2,NoMin1,1,2,1101,0,NA,14
1,NoMin1,2,2,1102,0,NA,14
2,NoMin1,3,2,1103,0,NA,14
1,NoMin1,4,2,1104,0,NA,14
2,NoMin1,5,2,1105,0,NA,14
1,NoMin1,6,2,1106,0,NA,14
1,NoMin1,1,2,1101,0,NA,15
2,NoMin1,2,2,1102,0,NA,15
1,NoMin1,3,2,1103,1,1,15
2,NoMin1,4,2,1104,1,0,15
1,NoMin1,5,2,1105,1,0,15
2,NoMin1,6,2,1106,1,1,15
2,NoMin1,1,2,1101,0,NA,16
1,NoMin1,2,2,1102,0,NA,16
2,NoMin1,3,2,1103,1,1,16
2,NoMin1,4,2,1104,1,0,16
1,NoMin1,5,2,1105,1,0,16
1,NoMin1,6,2,1106,1,1,16
2,NoMin2,1,1,1201,0,NA,1
1,NoMin2,2,1,1202,1,1,1
1,NoMin2,3,1,1203,1,0,1
2,NoMin2,4,1,1204,1,0,1
2,NoMin2,5,1,1205,1,1,1
1,NoMin2,6,1,1206,0,NA,1
1,NoMin2,1,1,1201,1,0,2
1,NoMin2,2,1,1202,1,0,2
1,NoMin2,3,1,1203,1,1,2
2,NoMin2,4,1,1204,1,0,2
2,NoMin2,5,1,1205,1,1,2
2,NoMin2,6,1,1206,1,0,2
