gamma,info,pi,A,Aactive,B,session,eSubj,bad,trust,honor,triad_id
1,0,0.05,1,2,0,3,308,1,0,NA,3011
1,0,0.05,2,2,0,3,318,1,0,NA,3011
1,0,0.05,0,2,1,3,304,1,0,NA,3011
1,0,0.05,1,2,0,3,312,1,1,1,3012
1,0,0.05,2,2,0,3,306,1,1,1,3012
1,0,0.05,0,2,1,3,309,1,1,1,3012
1,0,0.05,1,1,0,3,315,1,1,1,3013
1,0,0.05,2,1,0,3,320,1,1,1,3013
1,0,0.05,0,1,1,3,316,1,1,1,3013
1,0,0.05,1,2,0,3,313,1,0,NA,3014
1,0,0.05,2,2,0,3,302,1,0,NA,3014
1,0,0.05,0,2,1,3,305,1,0,NA,3014
1,0,0.05,1,1,0,3,301,1,0,NA,3015
1,0,0.05,2,1,0,3,319,1,0,NA,3015
1,0,0.05,0,1,1,3,321,1,0,NA,3015
1,0,0.05,1,2,0,3,307,1,0,NA,3016
1,0,0.05,2,2,0,3,314,1,0,NA,3016
1,0,0.05,0,2,1,3,310,1,0,NA,3016
1,0,0.05,1,1,0,3,317,0,0,NA,3017
1,0,0.05,2,1,0,3,303,0,0,NA,3017
1,0,0.05,0,1,1,3,311,0,0,NA,3017
1,0,0.05,1,2,0,3,321,1,0,NA,3021
1,0,0.05,2,2,0,3,317,1,0,NA,3021
1,0,0.05,0,2,1,3,318,1,0,NA,3021
1,0,0.05,1,1,0,3,316,1,1,0,3022
1,0,0.05,2,1,0,3,313,1,1,0,3022
1,0,0.05,0,1,1,3,320,1,1,0,3022
1,0,0.05,1,1,0,3,305,1,1,0,3023
1,0,0.05,2,1,0,3,307,1,1,0,3023
1,0,0.05,0,1,1,3,302,1,1,0,3023
1,0,0.05,1,1,0,3,310,1,1,0,3024
1,0,0.05,2,1,0,3,308,1,1,0,3024
1,0,0.05,0,1,1,3,303,1,1,0,3024
1,0,0.05,1,2,0,3,304,1,1,1,3025
1,0,0.05,2,2,0,3,301,1,1,1,3025
1,0,0.05,0,2,1,3,306,1,1,1,3025
1,0,0.05,1,2,0,3,311,0,0,NA,3026
1,0,0.05,2,2,0,3,312,0,0,NA,3026
1,0,0.05,0,2,1,3,314,0,0,NA,3026
1,0,0.05,1,1,0,3,309,0,1,1,3027
1,0,0.05,2,1,0,3,315,0,1,1,3027
1,0,0.05,0,1,1,3,319,0,1,1,3027
1,0,0.05,1,2,0,3,319,1,0,NA,3031
1,0,0.05,2,2,0,3,305,1,0,NA,3031
1,0,0.05,0,2,1,3,315,1,0,NA,3031
1,0,0.05,1,1,0,3,302,1,0,NA,3032
1,0,0.05,2,1,0,3,309,1,0,NA,3032
1,0,0.05,0,1,1,3,301,1,0,NA,3032
1,0,0.05,1,1,0,3,318,1,1,0,3033
1,0,0.05,2,1,0,3,310,1,1,0,3033
1,0,0.05,0,1,1,3,317,1,1,0,3033
1,0,0.05,1,2,0,3,303,1,1,0,3034
1,0,0.05,2,2,0,3,311,1,1,0,3034
1,0,0.05,0,2,1,3,312,1,1,0,3034
1,0,0.05,1,1,0,3,314,1,0,NA,3035
1,0,0.05,2,1,0,3,316,1,0,NA,3035
1,0,0.05,0,1,1,3,308,1,0,NA,3035
1,0,0.05,1,1,0,3,320,1,1,0,3036
1,0,0.05,2,1,0,3,321,1,1,0,3036
1,0,0.05,0,1,1,3,307,1,1,0,3036
1,0,0.05,1,1,0,3,306,1,1,1,3037
1,0,0.05,2,1,0,3,304,1,1,1,3037
1,0,0.05,0,1,1,3,313,1,1,1,3037
1,0,0.05,1,1,0,3,312,1,1,1,3041
1,0,0.05,2,1,0,3,318,1,1,1,3041
1,0,0.05,0,1,1,3,316,1,1,1,3041
1,0,0.05,1,2,0,3,315,1,0,NA,3042
1,0,0.05,2,2,0,3,302,1,0,NA,3042
1,0,0.05,0,2,1,3,321,1,0,NA,3042
1,0,0.05,1,1,0,3,307,1,0,NA,3043
1,0,0.05,2,1,0,3,303,1,0,NA,3043
1,0,0.05,0,1,1,3,311,1,0,NA,3043
1,0,0.05,1,2,0,3,308,1,0,NA,3044
1,0,0.05,2,2,0,3,319,1,0,NA,3044
1,0,0.05,0,2,1,3,304,1,0,NA,3044
1,0,0.05,1,2,0,3,317,1,1,1,3045
1,0,0.05,2,2,0,3,320,1,1,1,3045
1,0,0.05,0,2,1,3,310,1,1,1,3045
1,0,0.05,1,1,0,3,313,1,1,0,3046
1,0,0.05,2,1,0,3,314,1,1,0,3046
1,0,0.05,0,1,1,3,309,1,1,0,3046
1,0,0.05,1,1,0,3,301,0,1,1,3047
1,0,0.05,2,1,0,3,306,0,1,1,3047
1,0,0.05,0,1,1,3,305,0,1,1,3047
1,0,0.05,1,1,0,3,304,1,1,0,3051
1,0,0.05,2,1,0,3,308,1,1,0,3051
1,0,0.05,0,1,1,3,314,1,1,0,3051
1,0,0.05,1,1,0,3,321,1,1,0,3052
1,0,0.05,2,1,0,3,301,1,1,0,3052
1,0,0.05,0,1,1,3,319,1,1,0,3052
1,0,0.05,1,2,0,3,310,1,0,NA,3053
1,0,0.05,2,2,0,3,307,1,0,NA,3053
1,0,0.05,0,2,1,3,303,1,0,NA,3053
1,0,0.05,1,1,0,3,305,1,1,1,3054
1,0,0.05,2,1,0,3,317,1,1,1,3054
1,0,0.05,0,1,1,3,318,1,1,1,3054
1,0,0.05,1,1,0,3,309,1,1,1,3055
1,0,0.05,2,1,0,3,313,1,1,1,3055
1,0,0.05,0,1,1,3,302,1,1,1,3055
1,0,0.05,1,2,0,3,311,1,1,1,3056
1,0,0.05,2,2,0,3,312,1,1,1,3056
1,0,0.05,0,2,1,3,320,1,1,1,3056
1,0,0.05,1,2,0,3,316,1,1,1,3057
1,0,0.05,2,2,0,3,315,1,1,1,3057
1,0,0.05,0,2,1,3,306,1,1,1,3057
1,0,0.05,1,1,0,3,302,1,0,NA,3061
1,0,0.05,2,1,0,3,321,1,0,NA,3061
1,0,0.05,0,1,1,3,312,1,0,NA,3061
1,0,0.05,1,2,0,3,303,1,1,1,3062
1,0,0.05,2,2,0,3,304,1,1,1,3062
1,0,0.05,0,2,1,3,308,1,1,1,3062
1,0,0.05,1,1,0,3,306,1,1,0,3063
1,0,0.05,2,1,0,3,309,1,1,0,3063
1,0,0.05,0,1,1,3,301,1,1,0,3063
1,0,0.05,1,1,0,3,314,1,0,NA,3064
1,0,0.05,2,1,0,3,310,1,0,NA,3064
