Tr,Tr2game,ChoiceA1,ChoiceB1,session,person_id,network,game1round1
0,0,1,1,1,1,1,1
2,NA,1,1,1,2,1,1
0,0,1,1,1,3,1,1
1,NA,1,1,1,4,1,1
2,NA,1,1,1,5,1,1
0,0,1,1,1,6,1,1
2,NA,1,1,1,7,1,1
0,0,0,2,1,8,1,1
1,NA,1,1,1,9,1,1
1,NA,0,2,1,10,1,1
0,0,1,1,1,11,1,1
2,NA,0,2,1,12,1,1
1,NA,1,1,1,13,1,1
2,NA,1,1,1,14,1,1
2,NA,0,2,1,15,1,1
1,NA,0,2,1,16,1,1
0,0,0,2,1,17,1,1
1,NA,1,1,1,18,1,1
1,NA,1,1,1,1,1,0
0,0,0,2,1,2,1,0
1,NA,1,1,1,3,1,0
2,NA,0,2,1,4,1,0
0,0,1,1,1,5,1,0
1,NA,1,0,1,6,1,0
0,0,1,1,1,7,1,0
1,NA,0,2,1,8,1,0
2,NA,0,2,1,9,1,0
2,NA,1,1,1,10,1,0
1,NA,1,1,1,11,1,0
0,0,0,2,1,12,1,0
2,NA,1,0,1,13,1,0
0,0,1,1,1,14,1,0
0,0,1,0,1,15,1,0
2,NA,1,1,1,16,1,0
1,NA,0,2,1,17,1,0
2,NA,1,1,1,18,1,0
2,NA,1,1,1,1,1,0
1,NA,1,1,1,2,1,0
2,NA,1,1,1,3,1,0
0,0,1,1,1,4,1,0
1,NA,1,1,1,5,1,0
2,NA,1,0,1,6,1,0
1,NA,1,1,1,7,1,0
2,NA,1,1,1,8,1,0
0,0,1,1,1,9,1,0
0,0,1,0,1,10,1,0
2,NA,1,1,1,11,1,0
1,NA,1,0,1,12,1,0
0,0,1,1,1,13,1,0
1,NA,1,1,1,14,1,0
1,NA,1,1,1,15,1,0
0,0,1,1,1,16,1,0
2,NA,1,1,1,17,1,0
0,0,1,1,1,18,1,0
0,0,0,2,1,1,0,0
2,NA,1,1,1,2,0,0
0,0,1,1,1,3,0,0
1,NA,1,1,1,4,0,0
2,NA,1,1,1,5,0,0
0,0,1,1,1,6,0,0
2,NA,1,1,1,7,0,0
0,0,1,1,1,8,0,0
1,NA,1,1,1,9,0,0
1,NA,0,2,1,10,0,0
0,0,1,1,1,11,0,0
2,NA,1,1,1,12,0,0
1,NA,1,1,1,13,0,0
2,NA,0,2,1,14,0,0
2,NA,1,1,1,15,0,0
1,NA,1,1,1,16,0,0
0,0,1,1,1,17,0,0
1,NA,1,1,1,18,0,0
1,NA,1,1,1,1,0,0
0,0,1,1,1,2,0,0
1,NA,1,1,1,3,0,0
2,NA,1,1,1,4,0,0
0,0,1,1,1,5,0,0
1,NA,1,1,1,6,0,0
0,0,1,1,1,7,0,0
1,NA,1,1,1,8,0,0
2,NA,1,1,1,9,0,0
2,NA,1,1,1,10,0,0
1,NA,1,1,1,11,0,0
0,0,1,1,1,12,0,0
2,NA,1,1,1,13,0,0
0,0,1,1,1,14,0,0
0,0,1,1,1,15,0,0
2,NA,1,1,1,16,0,0
1,NA,1,1,1,17,0,0
2,NA,1,1,1,18,0,0
2,NA,1,1,1,1,0,0
1,NA,1,1,1,2,0,0
2,NA,1,1,1,3,0,0
0,0,1,1,1,4,0,0
1,NA,1,1,1,5,0,0
2,NA,1,1,1,6,0,0
1,NA,1,0,1,7,0,0
2,NA,1,1,1,8,0,0
0,0,1,1,1,9,0,0
0,0,1,0,1,10,0,0
2,NA,1,0,1,11,0,0
1,NA,1,1,1,12,0,0
0,0,1,1,1,13,0,0
1,NA,1,1,1,14,0,0
1,NA,1,1,1,15,0,0
0,0,1,1,1,16,0,0
2,NA,1,1,1,17,0,0
0,0,1,1,1,18,0,0
1,NA,1,0,2,19,0,1
0,0,0,2,2,20,0,1
2,NA,1,0,2,21,0,1
2,NA,1,1,2,22,0,1
1,NA,1,1,2,23,0,1
1,NA,1,1,2,24,0,1
0,0,1,1,2,25,0,1
2,NA,1,1,2,26,0,1
0,0,1,0,2,27,0,1
0,0,1,1,2,28,0,1
2,NA,0,2,2,29,0,1
0,0,1,0,2,30,0,1
1,NA,0,2,2,31,0,1
2,NA,1,0,2,32,0,1
1,NA,1,0,2,33,0,1
2,NA,0,2,2,19,0,0
1,NA,1,1,2,20,0,0
0,0,1,1,2,21,0,0
0,0,0,2,2,22,0,0
2,NA,1,1,2,23,0,0
2,NA,1,1,2,24,0,0
1,NA,1,1,2,25,0,0
0,0,1,1,2,26,0,0
1,NA,0,2,2,27,0,0
1,NA,1,1,2,28,0,0
0,0,1,1,2,29,0,0
1,NA,1,1,2,30,0,0
2,NA,1,1,2,31,0,0
0,0,1,1,2,32,0,0
2,NA,1,1,2,33,0,0
0,0,1,1,2,19,0,0
2,NA,1,1,2,20,0,0
1,NA,1,1,2,21,0,0
1,NA,1,1,2,22,0,0
0,0,1,1,2,23,0,0
0,0,1,1,2,24,0,0
2,NA,1,1,2,25,0,0
1,NA,1,1,2,26,0,0
2,NA,1,1,2,27,0,0
