network,coop
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,1
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
NoEmb,0
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,1
Emb,0
Emb,0
Emb,0
Emb,0
Emb,0
Emb,0
